moveId,name,category,naturalStatus,isolationStatus,forcedStatus,equipped,eligible,affordable,selected,submitted,resolved,successful,valueProducing,decisionEligible,decisionSelected,triggerApplicable,triggerActivated,triggerResolved,triggerValueProducing,naturalEquipped,naturalEligible,naturalSelected,naturalResolved,naturalSuccessful,naturalTriggerApplicable,naturalTriggerTriggered,naturalTriggerResolved,isolationEquipped,isolationEligible,isolationSelected,isolationResolved,isolationSuccessful,isolationTriggerApplicable,isolationTriggerTriggered,isolationTriggerResolved,forcedEquipped,forcedEligible,forcedSelected,forcedResolved,forcedSuccessful,forcedTriggerApplicable,forcedTriggerTriggered,forcedTriggerResolved,errorCount,errors,followUp
move-afterlife-angry-explosion,Angry Explosion,signature,not-scheduled,eligible-never-selected,observed-low-sample,20,20,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,true
move-afterlife-bakuretsu-ranma,Bakuretsu Ranma,advanced-attack,not-scheduled,eligible-never-selected,observed-sufficient,40,40,40,10,10,10,10,10,40,10,62,52,22,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,10,10,10,10,10,62,62,22,0,,true
move-afterlife-big-bang-attack,Big Bang Attack,signature,not-scheduled,eligible-never-selected,observed-low-sample,22,22,22,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,true
move-afterlife-big-bang-crash,Big Bang Crash,advanced-attack,not-scheduled,eligible-never-selected,observed-sufficient,40,40,40,10,10,10,10,10,40,10,61,51,21,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,10,10,10,10,10,61,61,21,0,,true
move-afterlife-black-kamehameha,Black Kamehameha,advanced-attack,not-scheduled,eligible-never-selected,observed-low-sample,34,34,34,4,4,4,3,3,34,4,17,17,9,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,4,4,4,4,3,17,17,9,0,,true
move-afterlife-blade-rush,Blade Rush,signature,not-scheduled,eligible-never-selected,observed-low-sample,23,23,23,2,2,2,2,2,23,2,8,8,4,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,2,2,2,2,2,8,8,4,0,,true
move-afterlife-blaster-shell,Blaster Shell,advanced-attack,not-scheduled,observed-sufficient,observed-low-sample,33,33,33,17,17,17,9,9,33,17,91,82,39,0,0,0,0,0,0,0,0,0,31,31,15,15,8,81,81,35,2,2,2,2,1,10,10,4,0,,true
move-afterlife-blazing-storm,Blazing Storm,advanced-attack,not-scheduled,observed-sufficient,observed-low-sample,36,36,36,24,24,24,10,10,36,24,124,114,56,0,0,0,0,0,0,0,0,0,32,32,20,20,9,103,103,45,4,4,4,4,1,21,21,11,0,,true
move-afterlife-body-change,Body Change,signature,not-scheduled,eligible-never-selected,observed-low-sample,23,23,23,2,2,2,1,0,23,2,8,8,4,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,2,2,2,2,1,8,8,4,0,,true
move-afterlife-burning-attack,Burning Attack,signature,not-scheduled,observed-low-sample,observed-low-sample,2,2,2,2,2,2,1,1,2,2,10,9,4,0,0,0,0,0,0,0,0,0,2,2,2,2,1,10,10,4,0,0,0,0,0,0,0,0,0,,true
move-afterlife-burning-shoot,Burning Shoot,advanced-attack,not-scheduled,eligible-never-selected,observed-sufficient,40,40,40,10,10,10,3,3,40,10,99,70,47,26,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,10,10,10,10,3,99,99,47,0,,true
move-afterlife-burning-slash,Burning Slash,signature,not-scheduled,eligible-never-selected,observed-low-sample,23,23,23,2,2,2,2,2,23,2,8,8,4,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,2,2,2,2,2,8,8,4,0,,true
move-afterlife-burst-rush,Burst Rush,signature,not-scheduled,eligible-never-selected,observed-low-sample,22,22,22,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,true
move-afterlife-crazy-finger-beam,Crazy Finger Beam,advanced-attack,not-scheduled,eligible-never-selected,observed-low-sample,34,34,34,4,4,4,3,3,34,4,16,16,8,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,4,4,4,4,3,16,16,8,0,,true
move-afterlife-crusher-ball,Crusher Ball,advanced-attack,not-scheduled,eligible-never-selected,observed-low-sample,32,32,32,2,2,2,0,0,32,2,9,9,5,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,2,2,2,2,0,9,9,5,0,,true
move-afterlife-death-ball,Death Ball,signature,not-scheduled,eligible-never-selected,observed-low-sample,21,21,21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,true
move-afterlife-death-beam,Death Beam,advanced-attack,not-scheduled,observed-sufficient,observed-sufficient,40,40,40,30,30,30,23,23,40,30,170,147,64,0,0,0,0,0,0,0,0,0,30,30,20,20,15,113,113,43,10,10,10,10,8,57,57,21,0,,true
move-afterlife-death-chaser,Death Chaser,advanced-attack,not-scheduled,eligible-never-selected,observed-low-sample,34,34,34,4,4,4,2,2,34,4,17,17,9,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,4,4,4,4,2,17,17,9,0,,true
move-afterlife-death-slicer,Death Slicer,advanced-attack,not-scheduled,observed-sufficient,observed-low-sample,34,34,34,20,20,20,13,13,34,20,111,98,45,0,0,0,0,0,0,0,0,0,30,30,16,16,11,90,90,36,4,4,4,4,2,21,21,9,0,,true
move-afterlife-destructo-disc,Destructo Disc,signature,not-scheduled,eligible-never-selected,observed-low-sample,22,22,22,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,true
move-afterlife-dodon-ray,Dodon Ray,advanced-attack,not-scheduled,observed-sufficient,observed-low-sample,34,34,34,22,22,22,15,15,34,22,123,108,49,0,0,0,0,0,0,0,0,0,30,30,18,18,12,100,100,40,4,4,4,4,3,23,23,9,0,,true
move-afterlife-dragon-fist,Dragon Fist,signature,not-scheduled,eligible-never-selected,observed-low-sample,22,22,22,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,true
move-afterlife-energy-blade,Energy Blade,skill,not-scheduled,eligible-never-selected,observed-low-sample,32,32,32,2,2,2,2,2,32,2,8,6,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,2,2,2,2,2,8,8,0,0,,true
move-afterlife-eraser-cannon,Eraser Cannon,signature,not-scheduled,eligible-never-selected,observed-low-sample,21,21,21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,true
move-afterlife-evil-flame,Evil Flame,advanced-attack,not-scheduled,observed-sufficient,observed-low-sample,35,35,35,22,22,22,7,7,35,22,108,101,50,0,0,0,0,0,0,0,0,0,31,31,18,18,7,91,91,41,4,4,4,4,0,17,17,9,0,,true
move-afterlife-evil-impulse,Evil Impulse,advanced-attack,not-scheduled,observed-sufficient,observed-low-sample,28,28,28,22,22,22,11,11,28,22,108,99,46,0,0,0,0,0,0,0,0,0,24,24,18,18,8,88,88,38,4,4,4,4,3,20,20,8,0,,true
move-afterlife-expanding-energy-blast,Expanding Energy Blast,advanced-attack,not-scheduled,observed-sufficient,observed-low-sample,34,34,34,22,22,22,22,22,34,22,111,102,49,0,0,0,0,0,0,0,0,0,30,30,18,18,18,89,89,39,4,4,4,4,4,22,22,10,0,,true
move-afterlife-final-flash,Final Flash,signature,not-scheduled,eligible-never-selected,observed-low-sample,22,22,22,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,true
move-afterlife-final-revenger,Final Revenger,advanced-attack,not-scheduled,eligible-never-selected,observed-low-sample,34,34,34,4,4,4,2,2,34,4,16,16,8,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,4,4,4,4,2,16,16,8,0,,true
move-afterlife-final-spirit-cannon,Final Spirit Cannon,signature,not-scheduled,eligible-never-selected,observed-low-sample,21,21,21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,true
